Innovator,Use_Message,Use_Cell,Use_PIM,Inf_Passive,Inf_Active,Remote_Access,Share_Inf,Monitor,Email,Web,Mmedia,Ergonomic,Monthly,Price
4,3,6,5,5,2,1,4,4,4,7,4,6,30,380
5,3,7,4,5,2,3,2,4,5,7,5,7,25,390
6,5,7,4,5,3,1,4,4,6,5,5,7,20,370
5,3,5,3,3,2,4,3,2,5,7,7,7,30,390
6,6,7,5,3,4,6,5,4,4,7,4,4,35,410
5,4,6,4,4,1,2,2,5,6,4,6,5,25,430
5,1,7,5,3,3,1,2,7,5,6,4,6,25,340
5,4,7,5,4,5,1,4,5,7,7,4,5,25,390
5,4,6,5,5,5,3,5,6,6,5,3,6,30,420
5,3,6,4,5,2,4,3,5,7,6,3,7,20,370
6,2,4,2,2,3,5,3,7,6,7,5,6,35,320
5,5,3,3,2,5,3,3,7,7,5,3,6,35,360
7,4,5,7,2,4,4,5,6,5,7,7,7,15,380
6,3,5,5,5,2,1,7,4,5,6,3,7,30,620
6,3,7,2,4,4,1,2,3,6,7,6,5,35,390
3,4,7,4,3,4,1,2,4,7,5,7,6,35,420
4,4,7,3,4,6,3,2,3,4,5,6,7,30,420
4,2,7,4,3,2,2,3,4,4,7,6,7,20,410
3,7,5,3,5,5,1,6,4,5,4,5,4,35,250
4,3,6,3,3,4,2,1,5,5,6,6,5,30,400
4,1,5,2,1,6,1,3,5,5,6,5,4,30,450
6,5,6,6,5,4,2,2,7,7,7,7,6,30,420
4,1,6,7,3,5,1,1,6,5,7,6,6,40,420
5,3,7,5,4,4,3,5,5,4,5,4,5,40,290
5,4,3,3,5,3,2,5,5,6,7,7,6,25,330
5,5,6,6,6,4,1,5,4,7,6,4,5,35,200
6,5,7,3,4,3,1,2,4,5,6,5,6,45,370
6,3,4,3,4,5,2,3,5,7,6,6,5,25,580
7,6,7,4,1,1,1,5,2,5,7,6,6,45,480
6,4,6,5,5,4,4,1,3,6,7,5,7,45,310
6,4,6,4,6,2,4,4,3,7,5,6,5,40,400
5,3,4,2,4,2,1,5,6,4,7,7,4,30,420
5,4,5,3,4,4,4,1,3,6,7,5,5,45,450
5,5,6,2,5,6,1,4,2,6,4,7,5,45,430
6,4,4,4,1,3,1,3,3,5,4,4,7,35,510
1,3,6,2,7,6,4,6,2,4,1,2,7,50,410
3,2,5,3,6,6,7,5,3,2,1,5,5,55,450
4,4,6,5,7,4,7,7,5,3,1,1,4,40,790
4,2,5,5,7,5,6,7,7,4,1,3,7,55,440
2,4,5,3,7,7,7,6,5,1,1,1,7,40,400
2,3,2,4,4,6,7,7,7,2,1,1,7,30,450
2,4,4,2,7,7,5,4,5,5,2,4,4,50,590
3,2,3,2,5,7,4,7,5,3,1,1,3,45,460
1,3,5,3,7,6,7,7,5,3,3,2,6,40,530
3,5,6,1,6,7,4,5,4,2,2,3,5,45,510
1,3,5,7,5,4,4,7,6,2,1,1,6,45,420
4,2,3,3,7,7,5,4,6,1,1,1,7,45,500
1,5,3,1,7,7,1,7,5,4,4,1,4,55,520
1,2,3,1,4,7,4,6,4,3,1,1,6,50,390
2,3,4,3,6,7,7,6,6,4,1,3,5,40,460
1,4,4,4,6,7,6,7,5,3,1,1,5,40,490
